name,PAAC_Xc1.A,PAAC_Xc1.R,PAAC_Xc1.N,PAAC_Xc1.D,PAAC_Xc1.C,PAAC_Xc1.Q,PAAC_Xc1.E,PAAC_Xc1.G,PAAC_Xc1.H,PAAC_Xc1.I,PAAC_Xc1.L,PAAC_Xc1.K,PAAC_Xc1.M,PAAC_Xc1.F,PAAC_Xc1.P,PAAC_Xc1.S,PAAC_Xc1.T,PAAC_Xc1.W,PAAC_Xc1.Y,PAAC_Xc1.V,PAAC_Xc2.lambda1,PAAC_Xc2.lambda2,PAAC_Xc2.lambda3,target
ACP_positive_1,4.088647799161296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.132971698741945,0.0,5.4515303988817285,0.0,0.0,0.0,0.0,0.0,0.0,0.1083312718220146,0.1300130955314678,0.0802143327863013,1
ACP_positive_2,0.0,0.7152441254577868,0.0,0.0,1.4304882509155736,0.0,0.0,0.7152441254577868,0.0,0.7152441254577868,1.4304882509155736,0.0,0.0,0.0,0.7152441254577868,0.0,0.0,0.0,0.0,0.0,0.0914507984126156,0.0697396848037086,0.1235653913258888,1
ACP_positive_3,2.51657206057068,0.83885735352356,0.83885735352356,0.0,0.0,0.0,0.0,1.67771470704712,0.0,2.51657206057068,3.35542941409424,0.83885735352356,0.0,0.83885735352356,0.83885735352356,3.35542941409424,0.0,0.0,0.0,0.83885735352356,0.0601043101299115,0.0591247940921917,0.0419135422543366,1
ACP_positive_4,0.7977848452377727,0.7977848452377727,0.0,0.0,1.5955696904755454,0.0,0.0,0.7977848452377727,0.0,1.5955696904755454,4.786709071426636,2.393354535713318,0.7977848452377727,0.7977848452377727,1.5955696904755454,0.7977848452377727,0.0,0.0,0.0,0.0,0.0537662176817904,0.0695709466126014,0.0788779904678354,1
ACP_positive_5,0.0,0.0,1.622211845429277,0.8111059227146385,4.866635536287832,0.0,1.622211845429277,0.8111059227146385,0.8111059227146385,2.433317768143916,0.0,3.244423690858554,0.0,0.8111059227146385,1.622211845429277,1.622211845429277,0.8111059227146385,0.8111059227146385,0.8111059227146385,2.433317768143916,0.0597091409714247,0.0629276712992988,0.0662572650146378,1
ACP_positive_6,1.4960855275765583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4960855275765583,2.244128291364838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1175047728327823,0.1344524633789383,0.0,1
ACP_positive_7,0.7762850421305134,0.0,0.0,0.7762850421305134,0.0,0.0,0.0,2.32885512639154,0.0,1.5525700842610268,1.5525700842610268,1.5525700842610268,0.0,0.7762850421305134,0.0,0.7762850421305134,0.0,0.0,0.0,2.32885512639154,0.066390247664694,0.1011206238108587,0.0562040863939339,1
ACP_positive_8,0.67438202737928,1.34876405475856,0.0,0.0,0.0,0.0,0.0,0.67438202737928,2.02314608213784,0.0,0.0,2.02314608213784,0.0,0.67438202737928,0.0,0.0,0.0,0.0,0.67438202737928,0.0,0.0833211189800128,0.1151990320114426,0.1270978216292645,1
ACP_positive_9,0.0,1.561098604836748,0.0,0.0,1.561098604836748,0.0,0.0,0.0,0.0,0.7805493024183741,0.7805493024183741,0.7805493024183741,0.7805493024183741,1.561098604836748,0.7805493024183741,1.561098604836748,0.0,0.0,0.0,0.0,0.0897331014655675,0.0856591176973453,0.0440584784187131,1
ACP_positive_10,0.0,5.058646287356123,0.722663755336589,0.722663755336589,0.0,0.722663755336589,0.0,2.167991266009767,0.0,0.0,0.722663755336589,1.445327510673178,0.722663755336589,0.0,0.0,0.0,1.445327510673178,1.445327510673178,0.0,0.722663755336589,0.0859413367144435,0.0835447044821806,0.1078502034667868,1
