name,GAAC_alphatic,GAAC_aromatic,GAAC_postivecharge,GAAC_negativecharge,GAAC_uncharge,target
ACP_positive_1,0.2608695652173913,0.3478260869565217,0.391304347826087,0.0,0.0,1
ACP_positive_2,0.5,0.0,0.125,0.0,0.375,1
ACP_positive_3,0.5909090909090909,0.0454545454545454,0.0909090909090909,0.0,0.2727272727272727,1
ACP_positive_4,0.5238095238095238,0.0476190476190476,0.1904761904761904,0.0,0.238095238095238,1
ACP_positive_5,0.2258064516129032,0.0967741935483871,0.1612903225806451,0.0967741935483871,0.4193548387096774,1
ACP_positive_6,0.5714285714285714,0.0,0.4285714285714285,0.0,0.0,1
ACP_positive_7,0.6875,0.0625,0.125,0.0625,0.0625,1
ACP_positive_8,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.0,0.0,1
ACP_positive_9,0.2307692307692307,0.1538461538461538,0.2307692307692307,0.0,0.3846153846153846,1
ACP_positive_10,0.2727272727272727,0.0909090909090909,0.4090909090909091,0.0454545454545454,0.1818181818181818,1
ACP_positive_11,0.4285714285714285,0.1428571428571428,0.3333333333333333,0.0,0.0952380952380952,1
ACP_positive_12,0.4545454545454545,0.1363636363636363,0.3181818181818182,0.0,0.0909090909090909,1
ACP_positive_13,0.5,0.0357142857142857,0.1785714285714285,0.0714285714285714,0.2142857142857142,1
ACP_positive_14,0.5384615384615384,0.0769230769230769,0.3076923076923077,0.0,0.0769230769230769,1
ACP_positive_15,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0,0.0,1
ACP_positive_16,0.5,0.0,0.0833333333333333,0.1666666666666666,0.25,1
ACP_positive_17,0.5625,0.0625,0.375,0.0,0.0,1
ACP_positive_18,0.48,0.12,0.36,0.0,0.04,1
ACP_positive_19,0.3529411764705882,0.1176470588235294,0.4705882352941176,0.0,0.0588235294117647,1
ACP_positive_20,0.4,0.12,0.2,0.08,0.2,1
ACP_positive_21,0.5454545454545454,0.1818181818181818,0.0,0.0909090909090909,0.1818181818181818,1
ACP_positive_22,0.2962962962962963,0.074074074074074,0.2962962962962963,0.1111111111111111,0.2222222222222222,1
ACP_positive_23,0.5333333333333333,0.0666666666666666,0.0666666666666666,0.1333333333333333,0.2,1
ACP_positive_24,0.5,0.0833333333333333,0.3333333333333333,0.0,0.0833333333333333,1
ACP_positive_25,0.4705882352941176,0.1176470588235294,0.2941176470588235,0.0,0.1176470588235294,1
ACP_positive_26,0.5555555555555556,0.037037037037037,0.1851851851851851,0.0,0.2222222222222222,1
ACP_positive_27,0.2,0.08,0.2,0.04,0.48,1
ACP_positive_28,0.5384615384615384,0.0,0.3076923076923077,0.0,0.1538461538461538,1
ACP_positive_29,0.1578947368421052,0.1578947368421052,0.1052631578947368,0.0526315789473684,0.5263157894736842,1
ACP_positive_30,0.5,0.0833333333333333,0.3333333333333333,0.0,0.0833333333333333,1
ACP_positive_31,0.2857142857142857,0.2142857142857142,0.4285714285714285,0.0,0.0714285714285714,1
ACP_positive_32,0.55,0.1,0.35,0.0,0.0,1
ACP_positive_33,0.5,0.125,0.375,0.0,0.0,1
ACP_positive_34,0.5833333333333334,0.0416666666666666,0.125,0.0,0.25,1
ACP_positive_35,0.3103448275862069,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.5862068965517241,1
ACP_positive_36,0.3404255319148936,0.2127659574468085,0.1489361702127659,0.0851063829787234,0.2127659574468085,1
ACP_positive_37,0.2608695652173913,0.0434782608695652,0.1521739130434782,0.0434782608695652,0.5,1
ACP_positive_38,0.35,0.1,0.2,0.0,0.35,1
ACP_positive_39,0.25,0.25,0.4375,0.0,0.0625,1
ACP_positive_40,0.3225806451612903,0.0967741935483871,0.064516129032258,0.064516129032258,0.4516129032258064,1
ACP_positive_41,0.5384615384615384,0.1538461538461538,0.3076923076923077,0.0,0.0,1
ACP_positive_42,0.44,0.04,0.08,0.08,0.36,1
ACP_positive_43,0.3846153846153846,0.1538461538461538,0.2307692307692307,0.0769230769230769,0.1538461538461538,1
ACP_positive_44,0.4782608695652174,0.0434782608695652,0.391304347826087,0.0,0.0869565217391304,1
ACP_positive_45,0.3548387096774194,0.064516129032258,0.0967741935483871,0.032258064516129,0.4516129032258064,1
ACP_positive_46,0.0,0.25,0.125,0.0,0.625,1
ACP_positive_47,0.2758620689655172,0.1724137931034483,0.2068965517241379,0.0344827586206896,0.3103448275862069,1
ACP_positive_48,0.7272727272727273,0.0,0.2727272727272727,0.0,0.0,1
ACP_positive_49,0.3636363636363636,0.1363636363636363,0.3181818181818182,0.0,0.1818181818181818,1
ACP_positive_50,0.75,0.0625,0.125,0.0,0.0625,1
ACP_positive_51,0.2105263157894736,0.1052631578947368,0.1052631578947368,0.0526315789473684,0.5263157894736842,1
ACP_positive_52,0.3846153846153846,0.3076923076923077,0.1538461538461538,0.0,0.1538461538461538,1
ACP_positive_53,0.4871794871794871,0.0256410256410256,0.2051282051282051,0.0512820512820512,0.2307692307692307,1
ACP_positive_54,0.6875,0.0625,0.125,0.0625,0.0625,1
ACP_positive_55,0.4285714285714285,0.2142857142857142,0.0714285714285714,0.0,0.2857142857142857,1
ACP_positive_56,0.2666666666666666,0.0666666666666666,0.0333333333333333,0.0666666666666666,0.5666666666666667,1
ACP_positive_57,0.4666666666666667,0.0666666666666666,0.4666666666666667,0.0,0.0,1
ACP_positive_58,0.5294117647058824,0.0,0.2352941176470588,0.0588235294117647,0.1764705882352941,1
ACP_positive_59,0.6086956521739131,0.0,0.391304347826087,0.0,0.0,1
ACP_positive_60,0.3548387096774194,0.064516129032258,0.0967741935483871,0.032258064516129,0.4516129032258064,1
ACP_positive_61,0.6923076923076923,0.0,0.3076923076923077,0.0,0.0,1
ACP_positive_62,0.6153846153846154,0.0769230769230769,0.3076923076923077,0.0,0.0,1
ACP_positive_63,0.5,0.3333333333333333,0.0,0.0,0.1666666666666666,1
ACP_positive_64,0.3157894736842105,0.1578947368421052,0.3157894736842105,0.0,0.2105263157894736,1
ACP_positive_65,0.1818181818181818,0.1818181818181818,0.0909090909090909,0.0909090909090909,0.4545454545454545,1
ACP_positive_66,0.5,0.0714285714285714,0.2857142857142857,0.0,0.1428571428571428,1
ACP_positive_67,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.0,0.2857142857142857,1
ACP_positive_68,0.4193548387096774,0.064516129032258,0.1290322580645161,0.032258064516129,0.3548387096774194,1
ACP_positive_69,0.4090909090909091,0.0909090909090909,0.5,0.0,0.0,1
ACP_positive_70,0.4,0.2,0.4,0.0,0.0,1
ACP_positive_71,0.3076923076923077,0.1538461538461538,0.3846153846153846,0.0769230769230769,0.0769230769230769,1
ACP_positive_72,0.1,0.2,0.1,0.1,0.5,1
ACP_positive_73,0.3076923076923077,0.1153846153846153,0.3076923076923077,0.0,0.2692307692307692,1
ACP_positive_74,0.4666666666666667,0.0666666666666666,0.3333333333333333,0.0,0.1333333333333333,1
ACP_positive_75,0.2666666666666666,0.0666666666666666,0.0333333333333333,0.0666666666666666,0.5666666666666667,1
ACP_positive_76,0.45,0.15,0.1,0.0,0.3,1
ACP_positive_77,0.3939393939393939,0.0303030303030303,0.1212121212121212,0.0606060606060606,0.3939393939393939,1
ACP_positive_78,0.3939393939393939,0.1515151515151515,0.1212121212121212,0.0606060606060606,0.2727272727272727,1
ACP_positive_79,0.3103448275862069,0.0689655172413793,0.0344827586206896,0.0344827586206896,0.5517241379310345,1
ACP_positive_80,0.3636363636363636,0.0909090909090909,0.0909090909090909,0.2727272727272727,0.1818181818181818,1
ACP_positive_81,0.4615384615384615,0.0769230769230769,0.4615384615384615,0.0,0.0,1
ACP_positive_82,0.3636363636363636,0.0,0.0909090909090909,0.0909090909090909,0.4545454545454545,1
ACP_positive_83,0.4285714285714285,0.1428571428571428,0.4285714285714285,0.0,0.0,1
ACP_positive_84,0.2631578947368421,0.131578947368421,0.2105263157894736,0.0526315789473684,0.3421052631578947,1
ACP_positive_85,0.631578947368421,0.0,0.3684210526315789,0.0,0.0,1
ACP_positive_86,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,1
ACP_positive_87,0.2727272727272727,0.3636363636363636,0.3636363636363636,0.0,0.0,1
ACP_positive_88,0.5,0.0833333333333333,0.4166666666666667,0.0,0.0,1
ACP_positive_89,0.5625,0.1875,0.25,0.0,0.0,1
ACP_positive_90,0.6875,0.0625,0.125,0.0625,0.0625,1
ACP_positive_91,0.1351351351351351,0.081081081081081,0.2162162162162162,0.054054054054054,0.5135135135135135,1
ACP_positive_92,0.4,0.1333333333333333,0.2666666666666666,0.1333333333333333,0.0666666666666666,1
ACP_positive_93,0.6153846153846154,0.0769230769230769,0.0769230769230769,0.0,0.2307692307692307,1
ACP_positive_94,0.3888888888888889,0.1111111111111111,0.4444444444444444,0.0,0.0555555555555555,1
ACP_positive_95,0.5,0.0833333333333333,0.3333333333333333,0.0,0.0833333333333333,1
ACP_positive_96,0.5,0.0,0.25,0.0,0.25,1
ACP_positive_97,0.5,0.0833333333333333,0.1666666666666666,0.0,0.25,1
ACP_positive_98,0.45,0.05,0.125,0.05,0.325,1
ACP_positive_99,0.6875,0.0625,0.1875,0.0,0.0625,1
ACP_positive_100,0.25,0.25,0.4375,0.0,0.0625,1
ACP_positive_101,0.4482758620689655,0.0344827586206896,0.1724137931034483,0.0689655172413793,0.2758620689655172,1
ACP_positive_102,0.375,0.125,0.375,0.0833333333333333,0.0416666666666666,1
ACP_positive_103,0.4615384615384615,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.0769230769230769,1
ACP_positive_104,0.4117647058823529,0.1176470588235294,0.2941176470588235,0.0,0.1764705882352941,1
ACP_positive_105,0.5,0.125,0.125,0.0,0.25,1
ACP_positive_106,0.5238095238095238,0.0476190476190476,0.3333333333333333,0.0,0.0952380952380952,1
ACP_positive_107,0.5384615384615384,0.0769230769230769,0.3076923076923077,0.0769230769230769,0.0,1
ACP_positive_108,0.3846153846153846,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.1538461538461538,1
ACP_positive_109,0.6086956521739131,0.0434782608695652,0.1304347826086956,0.0,0.217391304347826,1
ACP_positive_110,0.5833333333333334,0.1666666666666666,0.0833333333333333,0.0,0.1666666666666666,1
ACP_positive_111,0.3636363636363636,0.0,0.4545454545454545,0.0,0.1818181818181818,1
ACP_positive_112,0.4166666666666667,0.125,0.1666666666666666,0.0,0.2916666666666667,1
ACP_positive_113,0.2777777777777778,0.1666666666666666,0.2222222222222222,0.0,0.3333333333333333,1
ACP_positive_114,0.5714285714285714,0.0476190476190476,0.1904761904761904,0.1428571428571428,0.0476190476190476,1
ACP_positive_115,0.3448275862068966,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.5517241379310345,1
ACP_positive_116,0.3783783783783784,0.081081081081081,0.1351351351351351,0.0,0.4054054054054054,1
ACP_positive_117,0.5,0.15,0.15,0.0,0.2,1
ACP_positive_118,0.6818181818181818,0.0909090909090909,0.1363636363636363,0.0454545454545454,0.0454545454545454,1
ACP_positive_119,0.5625,0.0625,0.3125,0.0,0.0625,1
ACP_positive_120,0.4444444444444444,0.037037037037037,0.3703703703703703,0.037037037037037,0.1111111111111111,1
ACP_positive_121,0.4,0.2,0.3,0.0,0.1,1
ACP_positive_122,0.3529411764705882,0.0588235294117647,0.1470588235294117,0.0294117647058823,0.4117647058823529,1
ACP_positive_123,0.3333333333333333,0.1,0.1333333333333333,0.0333333333333333,0.4,1
ACP_positive_124,0.3157894736842105,0.1052631578947368,0.2894736842105263,0.131578947368421,0.1578947368421052,1
ACP_positive_125,0.2105263157894736,0.1052631578947368,0.0526315789473684,0.0526315789473684,0.5789473684210527,1
ACP_positive_126,0.3617021276595745,0.1276595744680851,0.1489361702127659,0.0425531914893617,0.3191489361702128,1
ACP_positive_127,0.4705882352941176,0.1176470588235294,0.2941176470588235,0.0,0.1176470588235294,1
ACP_positive_128,0.5882352941176471,0.1176470588235294,0.0588235294117647,0.0,0.2352941176470588,1
ACP_positive_129,0.5333333333333333,0.0666666666666666,0.3333333333333333,0.0,0.0666666666666666,1
ACP_positive_130,0.6153846153846154,0.0769230769230769,0.0769230769230769,0.0,0.2307692307692307,1
ACP_positive_131,0.44,0.12,0.04,0.16,0.24,1
ACP_positive_132,0.625,0.0625,0.3125,0.0,0.0,1
ACP_positive_133,0.5,0.0,0.0,0.0,0.5,1
ACP_positive_134,0.45,0.025,0.15,0.025,0.35,1
ACP_positive_135,0.3,0.2,0.5,0.0,0.0,1
ACP_positive_136,0.6666666666666666,0.1111111111111111,0.0,0.0,0.2222222222222222,1
ACP_positive_137,0.5294117647058824,0.1176470588235294,0.2941176470588235,0.0,0.0588235294117647,1
