name,AC_ANDN920101.lag1,AC_ANDN920101.lag2,AC_ANDN920101.lag3,AC_ARGP820101.lag1,AC_ARGP820101.lag2,AC_ARGP820101.lag3,AC_ARGP820102.lag1,AC_ARGP820102.lag2,AC_ARGP820102.lag3,AC_ARGP820103.lag1,AC_ARGP820103.lag2,AC_ARGP820103.lag3,AC_BEGF750101.lag1,AC_BEGF750101.lag2,AC_BEGF750101.lag3,AC_BEGF750102.lag1,AC_BEGF750102.lag2,AC_BEGF750102.lag3,AC_BEGF750103.lag1,AC_BEGF750103.lag2,AC_BEGF750103.lag3,AC_BHAR880101.lag1,AC_BHAR880101.lag2,AC_BHAR880101.lag3,target
ACP_positive_1,-0.1540028069003904,-0.0172975102451646,-0.0116140188893511,-0.2879045713321078,0.0579273615236453,-0.0753228214285577,-0.07070144016234,-0.4076700868684201,0.2067258952490649,-0.0004518198713693,-0.543240781413735,0.2835706228939872,-0.1659888711714287,-0.0191201907378905,-0.0276840235368089,-0.1803957892929273,-0.5861227802150094,0.2888913978430546,0.0059089935032755,-0.260684648273856,0.1235664395888773,-0.0096548624655338,-0.3507118711807525,0.1824170031449867,1
ACP_positive_2,-0.8443744150301832,0.516619582857487,-0.5249143475386191,-0.2210689176771093,-0.1150855265484307,0.0720525407219527,-0.9446943319182906,0.2433031580442564,0.3573583788682176,-0.7665503995334436,0.5735157157755829,-0.3207183865722248,-0.7790182002567241,1.118946306880377,-1.806483279998882,-0.1632885624216458,0.3121361222345289,-0.3062430774473885,-0.2372241360436803,0.499753769408195,-0.4864844076533692,-0.3509968319311283,-0.3204473883275021,0.6146415704289108,1
ACP_positive_3,0.0050842171635364,-0.3329238441119409,0.3054484394139795,-0.0835990804893164,-0.7376722526903879,0.3163575364987742,-0.0374912872663303,-0.3723422146213976,0.2077797756041984,0.0420269750517503,-0.5439784336741751,0.2783273944972762,-0.0875154323388569,-0.6231215095807415,0.357051727706228,-0.0365380344777279,-0.8444651617368821,0.2408687901504345,-0.1645367708767226,-0.6112082243168567,0.1410645751717217,0.0193870389813946,-0.2406485023125572,0.0607091053382623,1
ACP_positive_4,-0.18679798794689,-0.0468859871920633,-0.0865988928168171,-0.1652242574642508,0.0113017128317721,-0.1790628098297727,0.0061767834647718,-0.5572568871516336,0.0265973086347695,0.0151004419477887,-0.3970398358621957,0.0629204057474538,-0.4381405445732186,-0.5340474699756278,0.3149399109289473,-0.1876215823866111,-0.0743052550171096,-0.0121409312733452,-0.1715188931654025,-0.1346520662737178,0.1636679997468421,-0.2041650799032474,-0.1330587561002972,-0.1474329533737707,1
ACP_positive_5,-0.2795918948701291,-0.2105496968284335,0.2570150011959598,0.2892771394375401,-0.1236559403358906,-0.1656554048090051,-0.046041899126612,0.0582216493018651,-0.1047582148895755,0.0527230913839537,0.0535020576302665,-0.0348545705550739,-0.1586337667390949,-0.4196704794975191,0.1454423685791433,-0.0087060994650032,-0.065735407192525,0.1808558527265707,-0.3827390974357953,-0.2599925412492858,0.4279283502276809,-0.0366495581942875,-0.0106015446604367,-0.2682944429222696,1
ACP_positive_6,-0.0596326767769078,-0.0514810239777826,0.1058046588233179,-0.1098438931947006,-0.0668737313906959,0.1657735434106713,-1.1053793378680894,-1.2710207472186723,2.291186865654029,-0.8989956650299771,-1.179045616363062,2.0147937239460862,-0.2281484413611451,-0.3559115685233863,0.5703711034028627,-0.2844658354097367,-0.4314978099956008,0.6983844913956038,-0.2627828635750033,-0.3623863514662355,0.6074207884054565,-0.1728507580762236,-0.2688642313620907,0.4313113209855401,1
ACP_positive_7,0.1568487741513227,-0.6479327846423777,-0.0949666367672918,-0.1877855439077001,-0.3114660212967926,0.4265467832309459,-0.0006476036536687,-0.4056866123635399,0.4134726588546454,-0.0456073885295988,-0.4041600594927262,0.4179392593350451,-0.2506020504651045,-0.3773004849009936,0.2215431052367373,-0.1213399221834085,-0.9416192991638164,0.4603292677332039,-0.3209275927258935,-0.9000629121580828,0.8476626271751052,-0.1832716698703441,-0.4641141467371645,0.3061114752849257,1
ACP_positive_8,-0.1553765702951249,-0.1179499509126246,-0.0041740965585405,-0.0726030497177462,-0.1201964383494121,0.132683396573223,-0.0879764401753975,-0.0329871318626719,-0.078703691217446,-0.1649915692296289,0.0155450570475139,-0.11422045313022,0.0403016695934626,-0.0386752405484675,0.050394069395341,-0.1798599654205856,0.0363463595656659,-0.4003345703205121,0.0468434753891959,-0.0965410971274064,0.1109784551188442,0.0563750222738257,-0.6503932426958535,0.1464635343180033,1
ACP_positive_9,0.1591890764772337,-0.209428834966908,-0.2548545879120453,0.1606378015457358,-0.0523237907448242,0.052988570558896,-0.1276595644514121,-0.1170201989622443,0.6668719549275901,-0.0022013171116971,-0.0730684398594017,0.5907305445155175,-0.1116755964422236,-0.566222842537939,0.0804610028155728,-0.1260196559742374,-0.1891555204221918,0.31175874806471,-0.0307667301351414,-0.2984847781206857,0.0782519853248502,-0.3132086205759142,-0.4452739848276085,0.6592587313612943,1
ACP_positive_10,-0.0816762771223533,-0.2429236437553055,-0.1797079619469502,0.1581570095853355,-0.0300975618037412,-0.1504665325665694,-0.0210994565095941,0.2160052646057749,0.0307301915091198,0.0610673804475757,0.185525023170986,0.0018903851743984,0.0901821136560475,-0.0943170370397745,-0.0553019069760801,0.1025760806407867,0.0943861222932071,0.0509480601065182,-0.1314774940773936,0.0563679311362571,0.0512164411677054,0.5833411953916381,0.350992279983524,0.0561004148796535,1
