name,NMBroto_ANDN920101.lag1,NMBroto_ANDN920101.lag2,NMBroto_ANDN920101.lag3,NMBroto_ARGP820101.lag1,NMBroto_ARGP820101.lag2,NMBroto_ARGP820101.lag3,NMBroto_ARGP820102.lag1,NMBroto_ARGP820102.lag2,NMBroto_ARGP820102.lag3,NMBroto_ARGP820103.lag1,NMBroto_ARGP820103.lag2,NMBroto_ARGP820103.lag3,NMBroto_BEGF750101.lag1,NMBroto_BEGF750101.lag2,NMBroto_BEGF750101.lag3,NMBroto_BEGF750102.lag1,NMBroto_BEGF750102.lag2,NMBroto_BEGF750102.lag3,NMBroto_BEGF750103.lag1,NMBroto_BEGF750103.lag2,NMBroto_BEGF750103.lag3,NMBroto_BHAR880101.lag1,NMBroto_BHAR880101.lag2,NMBroto_BHAR880101.lag3,target
ACP_positive_1,-0.1354137637722417,0.0082289332154102,0.0101981527118274,-0.1667550703532611,0.2099961837161787,0.0634809192697534,-0.0731944966824059,-0.4113779802520775,0.2027142926495099,0.0158554205721616,-0.5360593181644449,0.2912540038889607,0.1319395658630718,0.2240838818164458,0.2343315493075839,-0.1847459858876745,-0.5915034668549195,0.2826105478401636,0.4983133710203786,0.1643369092400809,0.5670366414340778,0.2200582319982377,-0.1399522423047668,0.3935752122531862,1
ACP_positive_2,-0.6121896976618413,0.7570475446294389,-0.2767926909899647,-0.1630297160381738,0.0262992930919752,0.1441687320982535,-0.3383333731466577,0.985667074817456,0.9972436336567974,-0.4511800247943038,1.014853132468161,0.0470439285942758,-0.6925699752658573,1.0879622513193874,-1.8374673355598723,-0.1419686218186684,0.3199000312402374,-0.3082559427451647,-0.2201007092104476,0.5003328224895122,-0.4885524543723586,-0.3363920278786564,-0.3083319060784745,0.62642827432654,1
ACP_positive_3,0.4216314563732943,0.0881769549798616,0.6560888908573029,-0.0835903928843528,-0.7377110838934914,0.3162041673413264,0.1851489108230339,-0.1677836872737864,0.4340003707708769,0.2631095859617681,-0.3386609418307275,0.4981409865350622,0.0310484361992866,-0.5168667290842779,0.4769732705038545,-0.0364821058354329,-0.8443384169719688,0.2411716434308058,0.0134721236286274,-0.4234895277016672,0.3364920916976879,0.060597454709417,-0.2002137823884903,0.0875682023928948,1
ACP_positive_4,0.0480455210274267,0.1648566026474468,0.1200692788719463,-0.0197587061557897,0.1927300192017883,0.0174632106718787,0.6615616352642284,0.2381674833940922,0.8245119421564624,0.526855996869788,0.2272057183211894,0.6854023130439869,-0.33681754028032,-0.4144267055195456,0.423346670827841,-0.1871858226122517,-0.0746537042102573,-0.0123351604138858,-0.0954349138531557,-0.0317065361122586,0.2710465074278755,-0.2034220474174844,-0.1199074366202263,-0.129636199532948,1
ACP_positive_5,-0.2770731902786967,-0.2123469430759161,0.2542668807620422,0.30448608525973,-0.1090185395001528,-0.1474408166020745,-0.0387518497142045,0.0659468878207816,-0.1017584261048005,0.0995607686078245,0.1056794802912755,0.0055263284856283,-0.0249717024636325,-0.2778622915872594,0.3099164149666517,0.043935133907018,-0.0011693054384451,0.2268284667534904,-0.3832876669917491,-0.2597488698180979,0.429467063842209,-0.0359209463923075,-0.0115398828441715,-0.2705172983288885,1
ACP_positive_6,0.1860311354210477,0.1696820340205547,0.290216585522228,-0.0947591079907288,-0.0500313431252471,0.1852523362683358,-0.794207495230749,-1.0823835286883257,2.296022148023885,-0.5471210432848974,-0.962708228261468,2.027825261582453,1.040170856565262,0.7144813515741819,1.343874456757173,-0.271960466899548,-0.3435290108204817,0.8995484365681183,0.4052075109521816,0.1723865694515392,0.9423675289091162,-0.0430765905735938,-0.1836204154535005,0.4497596095030706,1
ACP_positive_7,0.9517674794467448,0.2210935465127888,0.8481944014191374,-0.1758307535530245,-0.2948003477364753,0.4442971461806271,0.0195642675671156,-0.4199571094910084,0.3918861670076682,-0.0148551161257976,-0.4011674108570823,0.4121658714679114,-0.1218307923775985,-0.2516274826471721,0.3853484869820586,-0.0465763539802905,-0.8435959541863951,0.55324057385913,-0.0745522376507377,-0.632756367303342,1.1612087350721074,-0.1538397233572294,-0.4331664610254563,0.3412392273626403,1
ACP_positive_8,-0.1488194440649803,-0.1171485243733845,0.0020592209688808,-0.0703602749778406,-0.1030928431590012,0.1494879551316464,0.2942221245842281,0.4278624945385109,0.3445302100508181,0.1467159623622605,0.3945376019662016,0.2350930194922466,0.0351626266719683,-0.0459607886977543,0.0433212379803399,-0.1678607666509172,0.052057595637727,-0.3946493993354347,0.0694578722721573,-0.0636697162494774,0.1413231370970655,0.0487487238117268,-0.6641567370507204,0.1439515657665447,1
ACP_positive_9,0.1570796016910099,-0.2132614235156758,-0.2559155296427636,0.2019590256949334,0.0040180571470654,0.0875196497285204,0.0739130512957439,0.0762848045804423,0.9698930357248812,0.1329586204057868,0.0284430807699854,0.7730864274673103,-0.0751014286180089,-0.4871889335354071,0.1301127709227093,-0.1256993553151002,-0.1883089220568982,0.3116639686461616,-0.030944751466741,-0.2985185529187758,0.0795058747039428,-0.3207566693580616,-0.4550981914271287,0.6572539208729907,1
ACP_positive_10,-0.0273582214436948,-0.1880747730961115,-0.123783492511408,0.2298261639091605,0.024679094617662,-0.0929000080705375,0.1040337575892545,0.3349160414048299,0.1248822177889961,0.1313139556903309,0.2514330686638132,0.0488777678777601,0.0894601408987737,-0.0956177247383351,-0.0566752398947089,0.1116453056471803,0.1069694129675387,0.0556584440568065,0.0226053919454747,0.2122788278456323,0.2091477707411146,0.7972328149776715,0.5511808495020925,0.2339932831025479,1
