name,APAAC_Pc1.A,APAAC_Pc1.R,APAAC_Pc1.N,APAAC_Pc1.D,APAAC_Pc1.C,APAAC_Pc1.Q,APAAC_Pc1.E,APAAC_Pc1.G,APAAC_Pc1.H,APAAC_Pc1.I,APAAC_Pc1.L,APAAC_Pc1.K,APAAC_Pc1.M,APAAC_Pc1.F,APAAC_Pc1.P,APAAC_Pc1.S,APAAC_Pc1.T,APAAC_Pc1.W,APAAC_Pc1.Y,APAAC_Pc1.V,APAAC_Pc2.Hydrophobicity.1,APAAC_Pc2.Hydrophilicity.1,APAAC_Pc2.Hydrophobicity.2,APAAC_Pc2.Hydrophilicity.2,APAAC_Pc2.Hydrophobicity.3,APAAC_Pc2.Hydrophilicity.3,target
ACP_positive_1,6.184698604975164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.277047907462746,0.0,8.246264806633553,0.0,0.0,0.0,0.0,0.0,0.0,0.0011654603874091,-0.0007904044718694,-0.0423112261600975,-0.0355592292473589,0.022322760497332,0.0243895381653907,1
ACP_positive_2,0.0,1.0782725898122056,0.0,0.0,2.1565451796244117,0.0,0.0,1.0782725898122056,0.0,1.0782725898122056,2.1565451796244117,0.0,0.0,0.0,1.0782725898122056,0.0,0.0,0.0,0.0,0.0,-0.0351367826570107,-0.0178621019664288,0.019802832235468,0.0068448324382569,-0.0450104456911825,-0.0069109241713084,1
ACP_positive_3,2.8801743889315814,0.9600581296438604,0.9600581296438604,0.0,0.0,0.0,0.0,1.920116259287721,0.0,2.8801743889315814,3.840232518575442,0.9600581296438604,0.0,0.9600581296438604,0.9600581296438604,3.840232518575442,0.0,0.0,0.0,0.9600581296438604,0.0079472962178024,-0.0007892262188362,0.007704669457703,-0.0021675279921814,0.0221088964758248,0.0051377624158268,1
ACP_positive_4,0.9721102795698444,0.9721102795698444,0.0,0.0,1.9442205591396888,0.0,0.0,0.9721102795698444,0.0,1.9442205591396888,5.832661677419066,2.916330838709533,0.9721102795698444,0.9721102795698444,1.9442205591396888,0.9721102795698444,0.0,0.0,0.0,0.0,0.0294821001992398,0.0149387132510875,0.0026905434099711,-0.0002152056671798,-0.0076029560849704,-0.0114034746779925,1
ACP_positive_5,0.0,0.0,1.9507537435096127,0.9753768717548064,5.852261230528838,0.0,1.9507537435096127,0.9753768717548064,0.9753768717548064,2.926130615264419,0.0,3.9015074870192255,0.0,0.9753768717548064,1.9507537435096127,1.9507537435096127,0.9753768717548064,0.9753768717548064,0.9753768717548064,2.926130615264419,0.0049667452642337,0.0104435333549255,0.0067648488712114,0.003922123106226,0.0015400324461247,-0.0030141547975278,1
ACP_positive_6,1.9538007341459565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9538007341459565,2.9307011012189346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0319402467043599,-0.0257098330081436,-0.0450894502649352,-0.0321050113535755,0.0772615158094513,0.0806826584485846,1
ACP_positive_7,1.0016739673336683,0.0,0.0,1.0016739673336683,0.0,0.0,0.0,3.0050219020010056,0.0,2.003347934667337,2.003347934667337,2.003347934667337,0.0,1.0016739673336683,0.0,1.0016739673336683,0.0,0.0,0.0,3.0050219020010056,0.0111844468383757,-0.0041072963616414,-0.0159519117393144,-0.0254547529328699,0.0168941666713006,0.0157613801904809,1
ACP_positive_8,0.995044469973274,1.990088939946548,0.0,0.0,0.0,0.0,0.0,0.995044469973274,2.985133409919821,0.0,0.0,2.985133409919821,0.0,0.995044469973274,0.0,0.0,0.0,0.0,0.995044469973274,0.0,0.0424338105865042,0.0197157540634403,-0.0093843747705231,-0.0086953623748969,-0.0159733295463131,-0.0231409679314851,1
ACP_positive_9,0.0,1.8362345336523276,0.0,0.0,1.8362345336523276,0.0,0.0,0.0,0.0,0.9181172668261636,0.9181172668261636,0.9181172668261636,0.9181172668261636,1.8362345336523276,0.9181172668261636,1.8362345336523276,0.0,0.0,0.0,0.0,0.0035959762154143,-0.0026418905669441,0.002839102073808,-0.0019596851264859,0.0499145348328899,0.030134695745154,1
ACP_positive_10,0.0,5.195070997958304,0.7421529997083292,0.7421529997083292,0.0,0.7421529997083292,0.0,2.2264589991249872,0.0,0.0,0.7421529997083292,1.4843059994166583,0.7421529997083292,0.0,0.0,0.0,1.4843059994166583,1.4843059994166583,0.0,0.7421529997083292,0.0560004240315857,0.0349523266184425,0.0598754912551525,0.0418134514638547,0.04625316145491,0.0189521454677253,1
ACP_positive_11,3.0450144040038247,0.0,2.0300096026692165,0.0,0.0,0.0,0.0,2.0300096026692165,0.0,1.0150048013346082,1.0150048013346082,7.105033609342257,1.0150048013346082,3.0450144040038247,0.0,0.0,0.0,0.0,0.0,1.0150048013346082,-0.0059426047505921,-0.0020238698941067,-0.032341276364051,-0.0319734577709664,0.0270962728627442,0.0301801345823638,1
ACP_positive_12,3.0627640247836574,0.0,2.041842683189105,0.0,0.0,0.0,0.0,2.041842683189105,0.0,3.0627640247836574,1.0209213415945524,7.146449391161867,0.0,3.0627640247836574,0.0,0.0,0.0,0.0,0.0,1.0209213415945524,-0.0051366126222636,-0.0014574305001638,-0.0419084463859271,-0.0353739303906324,0.0318660382181606,0.0310890400862741,1
ACP_positive_13,3.1077424071071484,0.0,0.0,2.0718282714047658,2.0718282714047658,0.0,0.0,3.1077424071071484,0.0,2.0718282714047658,3.1077424071071484,5.179570678511914,1.0359141357023829,0.0,0.0,1.0359141357023829,3.1077424071071484,1.0359141357023829,0.0,2.0718282714047658,-0.0120131564746082,-0.0105144286307783,-0.0047851953882841,-0.0120272508362723,-0.0017989431108535,0.0052248387384138,1
ACP_positive_14,0.0,1.1289640366994766,0.0,0.0,0.0,0.0,0.0,0.0,1.1289640366994766,1.1289640366994766,4.515856146797907,2.2579280733989533,0.0,0.0,0.0,1.1289640366994766,0.0,0.0,1.1289640366994766,2.2579280733989533,-0.0102752526798184,-0.0143691748348143,-0.0619590143709042,-0.040340348987717,-0.0029223686533981,0.0009021228271757,1
ACP_positive_15,1.032549352669004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032549352669004,5.16274676334502,0.0,2.065098705338008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0184706145326556,-0.0126945488515033,-0.049398403510272,-0.0343089956868163,0.0360577277446677,0.0462654821675758,1
