name,SOCNumber_Schneider.lag1,SOCNumber_Schneider.lag2,SOCNumber_Schneider.lag3,SOCNumber_gGrantham.lag1,SOCNumber_gGrantham.lag2,SOCNumber_gGrantham.lag3,target
ACP_positive_1,0.4864437272727272,0.6464270476190478,0.35787515,9523.636363636364,8812.238095238095,6958.45,1
ACP_positive_2,0.336974,0.3368403333333333,0.4269764,19409.285714285717,15106.5,22609.2,1
ACP_positive_3,0.2399669047619047,0.2188848499999999,0.185309,9740.190476190475,14372.1,7234.0526315789475,1
ACP_positive_4,0.25260175,0.268932,0.3341651666666667,13688.4,11344.0,12850.333333333334,1
ACP_positive_5,0.3001867666666667,0.3305938620689654,0.32736475,17092.0,18259.41379310345,15504.17857142857,1
ACP_positive_6,0.5845233333333334,0.6680752,0.0,10633.666666666666,10917.2,0.0,1
ACP_positive_7,0.3104335999999999,0.4607010714285713,0.2472533076923077,11029.533333333333,13727.07142857143,5559.0,1
ACP_positive_8,0.4374378181818181,0.6049523,0.6125455555555555,6631.545454545455,6339.3,7339.222222222223,1
ACP_positive_9,0.34298775,0.3414985454545454,0.2477192,10708.75,17216.545454545456,17716.2,1
ACP_positive_10,0.3593570476190476,0.3609503,0.4663886315789473,6759.190476190476,8557.2,10387.052631578948,1
ACP_positive_11,0.48384075,0.5422832105263159,0.3315081666666666,9845.0,9261.894736842103,8485.055555555555,1
ACP_positive_12,0.4635911904761904,0.5444203500000001,0.3177707368421052,9538.857142857143,10109.1,8302.157894736842,1
ACP_positive_13,0.4202858518518518,0.391618076923077,0.3672287600000001,13515.962962962964,15342.307692307691,11838.32,1
ACP_positive_14,0.4400215833333333,0.6112875454545454,0.3379021,6860.5,11088.545454545454,7029.6,1
ACP_positive_15,0.550084625,0.7012247142857142,0.3160885,7889.125,9454.0,5989.666666666667,1
ACP_positive_16,0.4018747272727273,0.2903363,0.4075042222222222,12435.0,7266.4,9893.222222222224,1
ACP_positive_17,0.4540487333333334,0.6719009285714287,0.2605983846153846,7162.0,10242.214285714286,4411.538461538462,1
ACP_positive_18,0.3811363333333333,0.4925199130434783,0.3916845909090908,6715.833333333333,9677.434782608696,7357.727272727273,1
ACP_positive_19,0.432582125,0.6404446666666669,0.3739371428571428,7477.375,10356.066666666668,6399.714285714285,1
ACP_positive_20,0.4337096666666667,0.5285855652173914,0.3193190454545455,10081.125,13362.91304347826,7720.545454545455,1
ACP_positive_21,0.3236496000000001,0.2581279999999999,0.25144025,13179.1,10663.555555555557,9063.375,1
ACP_positive_22,0.3299147307692307,0.4877617599999999,0.4552197083333333,8950.653846153846,11418.44,10600.25,1
ACP_positive_23,0.4014952857142856,0.3174403846153846,0.3658399166666667,12811.357142857143,10989.76923076923,9504.166666666666,1
ACP_positive_24,0.4380538181818182,0.5883677,0.3827343333333333,9707.545454545454,14951.8,8260.666666666666,1
ACP_positive_25,0.3185065,0.4010977333333334,0.3002075,8931.5625,10280.266666666666,7095.0,1
